,name,storage_slot,batch,MA,I,Br,Cl,spincoat_time,redplspec_intensity,redplspec_peakev,redplspec_fwhm,photostability_intensity_rate,photostability_intensity_scale,photostability_intensity_normdelta,photostability_peakev_rate,photostability_peakev_scale,photostability_peakev_delta,photostability_peakev_delta1,bandgap,emission_energy,t600,experimentid,storage_tray,spincoat0_drop0_solutes,darkfield,brightfield,plimage,redplspec,redplspec_fit,transmission,absorbance,missing_characterization,order
0,sample0,A1,2.0,0.0,0.8,0.2,0.0,4404.0,0.1767738987802574,1.6731362823058031,0.0957336706068764,0.051475652448757,0.019298340558106,0.9240713730164112,0.0025103305622997,-0.009200474481119,0.0017089196140493,-0.0020547354851949,1.6751012167739086,1.6731362823058031,0.0557772680137007,20220112,,,,,,,,,,,
1,sample1,A2,2.0,0.0,0.8,0.2,0.0,813.0,0.5116017829075615,1.633034799998364,0.1012464817450554,,,,,,,,1.6869602098896164,1.633034799998364,0.0546774345599095,20220112,,,,,,,,,,,
2,sample2,A3,2.0,0.0,0.8,0.2,0.0,657.0,0.5261556797943013,1.6070812840584348,0.1016461338608544,0.0717625676970496,-0.4871183130578375,0.4600100814602846,0.0110792501083089,-0.0075286885236179,-0.005824192330279,-0.005600843999306,1.6000849339184455,1.6070812840584348,0.0283442792948496,20220112,,,,,,,,,,,
3,sample3,A4,2.0,0.0,0.85,0.15,0.0,2034.0,0.0735866431971192,1.643221515668411,0.0725705031128531,0.2883856550586334,0.2293712400666285,1.3086710913434558,0.0110189036279719,-0.0061033029589642,-0.0044498268191375,-0.0042357940989041,1.6419414727409458,1.643221515668411,0.0384941708826949,20220112,,,,,,,,,,,
4,sample4,A5,2.0,0.0,0.85,0.15,0.0,2715.0,0.076595544316593,1.6412862444840266,0.0732821641324299,,,,,,,,1.6461671490872325,1.6412862444840266,0.050592338874399,20220112,,,,,,,,,,,
6,sample6,B2,2.0,0.0,0.9,0.1,0.0,189.0,,,,,,,,,,,1.6153906573879546,,0.0386198661345567,20220112,,,,,,,,,,,
7,sample7,B3,2.0,0.0,0.9,0.1,0.0,2190.0,0.0083516618272551,1.594854446999468,0.047100000003154,,,,,,,,1.6139099913622297,1.594854446999468,0.0319580177858781,20220112,,,,,,,,,,,
8,sample8,B4,2.0,0.0,0.9,0.1,0.0,1629.0,0.1908738297642248,1.618341878730925,0.0892014456644333,0.0032588372559938,0.440305645807667,1.0098469151468723,0.0030487619076806,-0.0015578614548871,0.0003315146435702,0.00022979603519,1.6181895027446678,1.618341878730925,0.0493982339817113,20220112,,,,,,,,,,,
9,sample9,B5,2.0,0.0,0.8,0.1667,0.0332999999999999,5163.0,0.2713946061993753,1.6924886986659493,0.0947671115336275,0.0737701671372747,-0.666030926096214,0.2665562721927553,0.0330740407144555,-0.0023873215631524,-0.0015788823770459,-0.0021999654170636,1.687583009296246,1.6924886986659493,0.0498381673632278,20220112,,,,,,,,,,,
10,sample10,C1,2.0,0.0,0.8,0.1667,0.0332999999999999,1824.0,0.3180165990804009,1.690144916062696,0.1033948644173805,,,,,,,,1.6869602098896164,1.690144916062696,0.0546774345599095,20220112,,,,,,,,,,,
13,sample13,C4,2.0,0.0,0.85,0.1167,0.0332999999999999,4053.0,0.1012455900262493,1.652122539227866,0.0766338417356226,,,,,,,,1.6492464646350682,1.652122539227866,0.0449989001665462,20220112,,,,,,,,,,,
15,sample15,D1,2.0,0.0,0.9,0.0667,0.0332999999999999,3825.0,0.3552180859902567,1.6316903815255248,0.099078685990823,0.1294693519453449,0.2611755333371434,1.3911389640835277,0.0093738281509196,-0.0035197138736104,-0.0016919886192303,-0.003052113490136,1.6267191985313212,1.6316903815255248,0.0410080759199321,20220112,,,,,,,,,,,
16,sample16,D2,2.0,0.0,0.9,0.0667,0.0332999999999999,1473.0,0.582568269317531,1.632002610263105,0.1035451018220243,,,,,,,,1.6279735854459525,1.632002610263105,0.0423278760644816,20220112,,,,,,,,,,,
17,sample17,D3,2.0,0.0,0.9,0.0667,0.0332999999999999,6264.0,0.3582449926532027,1.6336222093482224,0.0954965778020073,0.0291545282816999,0.3321942534312999,1.652341292381171,5.456009259258959e-05,-0.1563101135995753,0.0021045133531525,-0.0020959530137605,1.6271282633442117,1.6336222093482224,0.0374886088678,20220112,,,,,,,,,,,
18,sample18,D4,2.0,0.0,0.8,0.1333,0.0666999999999999,1161.0,,,,,,,,,,,1.6711041257489672,,0.0131665776325299,20220112,,,,,,,,,,,
19,sample19,D5,2.0,0.0,0.8,0.1333,0.0666999999999999,345.0,0.831116575430232,1.7004073673212965,0.1160289285258952,,,,,,,,1.6981124529758826,1.7004073673212965,0.0604908399585205,20220112,,,,,,,,,,,
20,sample20,E1,2.0,0.0,0.8,0.1333,0.0666999999999999,501.0,0.1554329512306308,1.69606953772581,0.098397834363936,,,,,,,,1.6950289325701515,1.69606953772581,0.0544574678691512,20220112,,,,,,,,,,,
21,sample21,E2,2.0,0.0,0.85,0.0833,0.0666999999999999,3669.0,1.461647273902415,1.671869308531733,0.1061324398064454,0.0006600550051352,-0.9765345942653152,0.996960567653155,0.0002930925167192,-0.1089935910028953,-0.0023944329021394,-0.0030413646927487,1.6661438837868543,1.671869308531733,0.0449989001665462,20220112,,,,,,,,,,,
22,sample22,E3,2.0,0.0,0.85,0.0833,0.0666999999999999,4599.0,0.6526539079507894,1.6747712032258673,0.1027831786730282,0.0431219621485478,-0.4011761268609031,0.577879554847968,0.0049912350761529,-0.0060464443210157,-0.0026909137751176,-0.0024102579019462,1.6683859904596094,1.6747712032258673,0.0486440624705401,20220112,,,,,,,,,,,
24,sample24,E5,2.0,0.0,0.9,0.0333,0.0666999999999999,33.0,0.5261556797943013,1.6070812840584348,0.1016461338608544,,,,,,,,1.604079189716321,1.6070812840584348,0.030669641454294,20220112,,,,,,,,,,,
25,sample25,F1,2.0,0.0,0.9,0.0333,0.0666999999999999,5718.0,1.185498365872439,1.607497658483058,0.1078132548364367,0.051604830193187,0.3055557084671741,1.6486769487849442,3.643470789463497e-05,-0.5054895029660484,-0.0014018580048438,-0.0026723632210823,1.602642374802807,1.607497658483058,0.0309524557709832,20220112,,,,,,,,,,,
